[Block 1 | Node 0] Verify[CR], stage: [Init]
[Block 1 | Node 0] Verify[CR]-Init: Verify SRS error: updated setup is not build on the work of the preceding participants
[Block 1 | Node 0] Verify[CR], stage: [Init]
[Block 1 | Node 0] Update[CR], stage: [Init]
[Block 2 | Node 0] Verify[CR], stage: [Init]
[Block 2 | Node 0] Update[CR], stage: [Init]
[Block 3 | Node 0] Verify[CR], stage: [Init]
[Block 3 | Node 0] Update[CR], stage: [Init]
[Block 4 | Node 0] Verify[CR], stage: [Init]
[Block 1 | Node 0] Verify[CR], stage: [Init]
[Block 1 | Node 0] Verify[CR]-Init: Verify SRS error: updated setup is not build on the work of the preceding participants
[Block 1 | Node 0] Verify[CR], stage: [Init]
[Block 1 | Node 0] Update[CR], stage: [Init]
[Block 2 | Node 0] Verify[CR], stage: [Init]
[Block 2 | Node 0] Update[CR], stage: [Init]
[Block 3 | Node 0] Verify[CR], stage: [Init]
[Block 3 | Node 0] Update[CR], stage: [Init]
[Block 4 | Node 0] Verify[CR], stage: [Init]
[Block 4 | Node 0] Update[CR], stage: [Init]
[Block 5 | Node 0] Verify[CR], stage: [Init]
[Block 1 | Node 0] Verify[CR], stage: [Init]
[Block 1 | Node 0] Verify[CR]-Init: Verify SRS error: updated setup is not build on the work of the preceding participants
[Block 1 | Node 0] Mining, stage: [Init]
[Block 1 | Node 0] Verify[CR], stage: [Init]
[Block 1 | Node 0] Update[CR], stage: [Init]
[Block 2 | Node 0] Verify[CR], stage: [Init]
[Block 2 | Node 0] Update[CR], stage: [Init]
[Block 3 | Node 0] Verify[CR], stage: [Init]
[Block 3 | Node 0] Update[CR], stage: [Init]
[Block 4 | Node 0] Verify[CR], stage: [Init]
[Block 4 | Node 0] Update[CR], stage: [Init]
[Block 5 | Node 0] Verify[CR], stage: [Init]
[Block 5 | Node 0] Update[CR], stage: [Init]
[Block 6 | Node 0] Verify[CR], stage: [Init]
[Block 1 | Node 0] Update, stage: [Init]
[Block 2 | Node 0] Verify[CR], stage: [Init]
[Block 2 | Node 0] Verify[CR]-Init: Verify SRS error: updated setup is not build on the work of the preceding participants
[Block 2 | Node 0] Mining, stage: [Init]
[Block 1 | Node 0] Verify[CR], stage: [Init]
[Block 1 | Node 0] Update[CR], stage: [Init]
[Block 2 | Node 0] Verify[CR], stage: [Init]
[Block 2 | Node 0] Update[CR], stage: [Init]
[Block 3 | Node 0] Verify[CR], stage: [Init]
[Block 3 | Node 0] Update[CR], stage: [Init]
[Block 4 | Node 0] Verify[CR], stage: [Init]
[Block 4 | Node 0] Update[CR], stage: [Init]
[Block 5 | Node 0] Verify[CR], stage: [Init]
[Block 5 | Node 0] Update[CR], stage: [Init]
[Block 6 | Node 0] Verify[CR], stage: [Init]
[Block 6 | Node 0] Update[CR], stage: [Init]
[Block 7 | Node 0] Verify[CR], stage: [Init]
[Block 2 | Node 0] Update, stage: [Init]
[Block 2 | Node 0] Verify[CR], stage: [Init]
[Block 2 | Node 0] Verify[CR]-Init: Verify SRS error: updated setup is not build on the work of the preceding participants
[Block 1 | Node 0] Verify[CR], stage: [Init]
[Block 1 | Node 0] Update[CR], stage: [Init]
[Block 2 | Node 0] Verify[CR], stage: [Init]
[Block 2 | Node 0] Update[CR], stage: [Init]
[Block 3 | Node 0] Verify[CR], stage: [Init]
[Block 3 | Node 0] Update[CR], stage: [Init]
[Block 4 | Node 0] Verify[CR], stage: [Init]
[Block 4 | Node 0] Update[CR], stage: [Init]
[Block 5 | Node 0] Verify[CR], stage: [Init]
[Block 5 | Node 0] Update[CR], stage: [Init]
[Block 6 | Node 0] Verify[CR], stage: [Init]
[Block 6 | Node 0] Update[CR], stage: [Init]
[Block 7 | Node 0] Verify[CR], stage: [Init]
[Block 7 | Node 0] Update[CR], stage: [Init]
[Block 8 | Node 0] Verify[CR], stage: [Init]
[Block 3 | Node 0] Mining, stage: [Init]
[Block 3 | Node 0] Update, stage: [Init]
[Block 2 | Node 0] Verify[CR], stage: [Init]
[Block 2 | Node 0] Verify[CR]-Init: Verify SRS error: updated setup is not build on the work of the preceding participants
[Block 4 | Node 0] Mining, stage: [Init]
[Block 1 | Node 0] Verify[CR], stage: [Init]
[Block 1 | Node 0] Update[CR], stage: [Init]
[Block 2 | Node 0] Verify[CR], stage: [Init]
[Block 2 | Node 0] Update[CR], stage: [Init]
[Block 3 | Node 0] Verify[CR], stage: [Init]
[Block 3 | Node 0] Update[CR], stage: [Init]
[Block 4 | Node 0] Verify[CR], stage: [Init]
[Block 4 | Node 0] Update[CR], stage: [Init]
[Block 5 | Node 0] Verify[CR], stage: [Init]
[Block 5 | Node 0] Update[CR], stage: [Init]
[Block 6 | Node 0] Verify[CR], stage: [Init]
[Block 6 | Node 0] Update[CR], stage: [Init]
[Block 7 | Node 0] Verify[CR], stage: [Init]
[Block 7 | Node 0] Update[CR], stage: [Init]
[Block 8 | Node 0] Verify[CR], stage: [Init]
[Block 8 | Node 0] Update[CR], stage: [Init]
[Block 9 | Node 0] Verify[CR], stage: [Shuffle]
[Block 4 | Node 0] Update, stage: [Init]
[Block 2 | Node 0] Verify[CR], stage: [Init]
[Block 2 | Node 0] Verify[CR]-Init: Verify SRS error: updated setup is not build on the work of the preceding participants
[Block 1 | Node 0] Verify[CR], stage: [Init]
