[Block 1 | Node 2] Mining, stage: [Init]
[Block 1 | Node 2] Verify, stages: [Init]
[Block 1 | Node 2] Update, stage: [Init]
[Block 2 | Node 2] Mining, stage: [Init]
[Block 2 | Node 2] Verify, stages: [Init]
[Block 2 | Node 2] Update, stage: [Init]
[Block 3 | Node 2] Verify, stages: [Init]
[Block 3 | Node 2] Mining, stage: [Init]
[Block 3 | Node 2] Update, stage: [Init]
[Block 4 | Node 2] Verify, stages: [Init]
[Block 4 | Node 2] Mining, stage: [Init]
[Block 4 | Node 2] Update, stage: [Init]
[Block 5 | Node 2] Mining, stage: [Init]
[Block 5 | Node 2] Verify, stages: [Init]
[Block 5 | Node 2] Update, stage: [Init]
[Block 6 | Node 2] Mining, stage: [Init]
[Block 5 | Node 2] Verify[CR], stage: [Init]
[Block 5 | Node 2] Update[CR], stage: [Init]
[Block 6 | Node 2] Verify[CR], stage: [Init]
[Block 6 | Node 2] Verify[CR]-Init: Verify SRS error: updated setup is not build on the work of the preceding participants
[Block 6 | Node 2] Update, stage: [Init]
[Block 7 | Node 2] Mining, stage: [Init]
[Block 7 | Node 2] Verify, stages: [Init]
[Block 7 | Node 2] Update, stage: [Init]
[Block 8 | Node 2] Verify, stages: [Init]
[Block 8 | Node 2] Mining, stage: [Init]
[Block 8 | Node 2] Update, stage: [Init]
[Block 9 | Node 2] Mining, stage: [Shuffle]
[Block 9 | Node 2] Verify, stages: [Shuffle]
[Block 9 | Node 2] Update, stage: [Shuffle]
[Block 10 | Node 2] Mining, stage: [Shuffle]
[Block 10 | Node 2] Verify, stages: [Shuffle]
[Block 10 | Node 2] Update, stage: [Shuffle]
[Block 11 | Node 2] Mining, stage: [Shuffle]
[Block 11 | Node 2] Verify, stages: [Shuffle]
[Block 11 | Node 2] Update, stage: [Shuffle]
[Block 12 | Node 2] Mining, stage: [Shuffle]
[Block 12 | Node 2] Verify, stages: [Shuffle]
[Node 12] Height 2: Verify Shuffle error: verify link proof failed
[Block 12 | Node 2] Update, stage: [Shuffle]
[Block 13 | Node 2] Mining, stage: [Draw]
[Block 12 | Node 2] Verify[CR], stage: [Shuffle]
[Verify]: Shuffle [CR] | Node 12, Height 2: Verify Shuffle error: res is false
[Block 13 | Node 2] Update, stage: [Draw]
[Block 13 | Node 2] Update-Draw: len of MemberPKList: 4, list: [0xc0045c4090 0xc0045c5950 0xc00a9e9170 0xc0045ae990]
[Block 14 | Node 2] Mining, stage: [Draw DPVSS]
[Block 14 | Node 2] Mining-DPVSS | PVSS Times: 1, committee work heights: [17]
[Block 14 | Node 2] Mining-DPVSS: holderPKLists[0]: [0xc0045c4090 0xc0045c5950 0xc00a9e9170 0xc0045ae990]
[Block 12 | Node 2] Verify[CR], stage: [Shuffle]
[Verify]: Shuffle [CR] | Node 12, Height 2: Verify Shuffle error: res is false
[Block 14 | Node 2] Update, stage: [Draw DPVSS]
[Block 14 | Node 2] Update-Draw: len of MemberPKList: 4, list: [0xc004d561b0 0xc004d57950 0xc004d59170 0xc004d5a990]
[Block 15 | Node 2] Mining, stage: [Draw DPVSS]
[Block 15 | Node 2] Mining-DPVSS | PVSS Times: 2, committee work heights: [17 18]
[Block 15 | Node 2] Mining-DPVSS: holderPKLists[0]: [0xc0048658c0 0xc004865950 0xc0048659e0 0xc004865a70]
[Block 15 | Node 2] Mining-DPVSS: holderPKLists[1]: [0xc004d561b0 0xc004d57950 0xc004d59170 0xc004d5a990]
[Block 12 | Node 2] Verify[CR], stage: [Shuffle]
[Verify]: Shuffle [CR] | Node 12, Height 2: Verify Shuffle error: res is false
[Block 15 | Node 2] Update, stage: [Draw DPVSS]
[Block 15 | Node 2] Update-Draw: len of MemberPKList: 4, list: [0xc0073bb290 0xc003abeab0 0xc00a6285a0 0xc00a629d40]
[Block 16 | Node 2] Mining, stage: [Draw DPVSS]
[Block 16 | Node 2] Mining-DPVSS | PVSS Times: 3, committee work heights: [17 18 19]
[Block 16 | Node 2] Mining-DPVSS: holderPKLists[0]: [0xc005693d40 0xc005693dd0 0xc005693e60 0xc005693ef0]
[Block 16 | Node 2] Mining-DPVSS: holderPKLists[1]: [0xc0056942d0 0xc005694360 0xc0056943f0 0xc005694480]
[Block 16 | Node 2] Mining-DPVSS: holderPKLists[2]: [0xc0073bb290 0xc003abeab0 0xc00a6285a0 0xc00a629d40]
[Block 12 | Node 2] Verify[CR], stage: [Shuffle]
[Verify]: Shuffle [CR] | Node 12, Height 2: Verify Shuffle error: res is false
[Block 16 | Node 2] Update, stage: [Draw DPVSS]
[Block 16 | Node 2] Update-Draw: len of MemberPKList: 4, list: [0xc0060818c0 0xc0060910e0 0xc00609e900 0xc0060a4120]
[Block 17 | Node 2] Mining, stage: [Shuffle Draw DPVSS Work]
[Block 17 | Node 2] Mining-DPVSS | PVSS Times: 3, committee work heights: [18 19 20]
[Block 17 | Node 2] Mining-DPVSS: holderPKLists[0]: [0xc00674e090 0xc00674e120 0xc00674e1b0 0xc00674e240]
[Block 17 | Node 2] Mining-DPVSS: holderPKLists[1]: [0xc00674e5a0 0xc00674e630 0xc00674e750 0xc00674e7e0]
[Block 17 | Node 2] Mining-DPVSS: holderPKLists[2]: [0xc0060818c0 0xc0060910e0 0xc00609e900 0xc0060a4120]
[Block 12 | Node 2] Verify[CR], stage: [Shuffle]
[Verify]: Shuffle [CR] | Node 12, Height 2: Verify Shuffle error: res is false
